auction_date,168d,28d,336d,7d,84d,total_allotment_chf_mn
2026-04-09,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,0.0,10866.0,45.0,0.0,0.0,10911.0
2026-02-19,0.0,17184.0,0.0,0.0,1663.0,18847.0
2026-02-12,315.0,15219.0,0.0,0.0,0.0,15534.0
2026-02-05,0.0,16882.0,0.0,0.0,806.0,17688.0
2026-01-29,0.0,12103.0,500.0,0.0,0.0,12603.0
2026-01-22,0.0,15396.0,0.0,0.0,1970.0,17366.0
2026-01-15,735.0,13541.0,0.0,0.0,0.0,14276.0
2026-01-08,0.0,14078.0,0.0,0.0,1659.0,15737.0
2025-12-31,0.0,2226.0,300.0,0.0,0.0,2526.0
2025-12-24,0.0,7517.0,0.0,0.0,1330.0,8847.0
2025-12-18,485.0,15901.0,0.0,0.0,0.0,16386.0
2025-12-11,0.0,12937.0,0.0,0.0,310.0,13247.0
2025-12-04,0.0,12638.0,80.0,0.0,0.0,12718.0
2025-11-27,0.0,6504.0,0.0,0.0,8948.0,15452.0
2025-11-20,2855.0,10980.0,0.0,0.0,0.0,13835.0
2025-11-13,0.0,7432.0,0.0,0.0,8108.0,15540.0
2025-11-06,0.0,15850.0,300.0,0.0,0.0,16150.0
2025-10-30,0.0,8214.0,0.0,43.0,10515.0,18772.0
2025-10-23,2512.0,13100.0,0.0,81.0,0.0,15693.0
2025-10-16,0.0,11596.0,0.0,0.0,6405.0,18001.0
2025-10-09,0.0,15747.0,170.0,0.0,0.0,15917.0
2025-10-02,0.0,13574.0,0.0,0.0,1185.0,14759.0
2025-09-25,1500.0,14662.0,0.0,0.0,0.0,16162.0
2025-09-18,0.0,15349.0,0.0,0.0,977.0,16326.0
2025-09-11,0.0,14033.0,260.0,0.0,0.0,14293.0
2025-09-04,0.0,10067.0,0.0,0.0,886.0,10953.0
2025-08-28,226.0,15336.0,0.0,0.0,0.0,15562.0
2025-08-21,0.0,16357.0,0.0,0.0,744.0,17101.0
2025-08-14,0.0,13869.0,100.0,0.0,0.0,13969.0
2025-08-07,0.0,10257.0,0.0,0.0,210.0,10467.0
2025-07-31,550.0,11135.0,0.0,0.0,0.0,11685.0
2025-07-24,0.0,14915.0,0.0,0.0,230.0,15145.0
2025-07-17,0.0,8316.0,215.0,0.0,0.0,8531.0
2025-07-10,0.0,5366.0,0.0,0.0,608.0,5974.0
2025-07-03,125.0,8064.0,0.0,0.0,0.0,8189.0
2025-06-26,0.0,11205.0,0.0,0.0,444.0,11649.0
2025-06-19,0.0,9526.0,521.0,0.0,0.0,10047.0
2025-06-12,0.0,12507.0,0.0,0.0,1070.0,13577.0
2025-06-05,954.0,10446.0,0.0,0.0,0.0,11400.0
2025-05-28,0.0,10211.0,0.0,0.0,622.0,10833.0
2025-05-22,0.0,9858.0,450.0,0.0,0.0,10308.0
2025-05-15,0.0,12224.0,0.0,0.0,565.0,12789.0
2025-05-08,331.0,10682.0,0.0,0.0,0.0,11013.0
2025-04-30,0.0,11127.0,0.0,0.0,110.0,11237.0
2025-04-24,0.0,13306.0,360.0,0.0,0.0,13666.0
2025-04-17,0.0,11545.0,0.0,0.0,1233.0,12778.0
2025-04-10,750.0,7642.0,0.0,0.0,0.0,8392.0
2025-04-03,0.0,10084.0,0.0,0.0,840.0,10924.0
2025-03-27,0.0,12105.0,1585.0,0.0,0.0,13690.0
2025-03-20,0.0,13290.0,0.0,0.0,1003.0,14293.0
2025-03-13,1091.0,12444.0,0.0,0.0,0.0,13535.0
2025-03-06,0.0,10396.0,0.0,0.0,1031.0,11427.0
2025-02-27,0.0,9980.0,1876.0,0.0,0.0,11856.0
2025-02-20,0.0,8968.0,0.0,0.0,1951.0,10919.0
2025-02-13,892.0,7701.0,0.0,0.0,0.0,8593.0
2025-02-06,0.0,10387.0,0.0,0.0,1238.0,11625.0
2025-01-30,0.0,13783.0,53.0,0.0,0.0,13836.0
2025-01-23,0.0,6197.0,0.0,0.0,1625.0,7822.0
2025-01-16,291.0,11603.0,0.0,0.0,0.0,11894.0
2025-01-09,0.0,7187.0,0.0,0.0,697.0,7884.0
2025-01-03,0.0,11973.0,225.0,0.0,0.0,12198.0
2024-12-27,0.0,9684.0,0.0,0.0,1087.0,10771.0
2024-12-19,411.0,14077.0,0.0,0.0,0.0,14488.0
2024-12-12,0.0,13924.0,0.0,0.0,1097.0,15021.0
2024-12-05,0.0,13215.0,210.0,0.0,0.0,13425.0
2024-11-28,0.0,6387.0,0.0,0.0,1525.0,7912.0
2024-11-21,783.0,7171.0,0.0,0.0,0.0,7954.0
2024-11-14,0.0,8277.0,0.0,0.0,1529.0,9806.0
2024-11-07,0.0,6711.0,429.0,0.0,0.0,7140.0
2024-10-31,0.0,7329.0,0.0,0.0,1503.0,8832.0
2024-10-24,1075.0,6372.0,0.0,0.0,0.0,7447.0
2024-10-17,0.0,7271.0,0.0,0.0,1473.0,8744.0
2024-10-10,0.0,6605.0,567.0,0.0,0.0,7172.0
2024-10-03,0.0,9470.0,0.0,0.0,942.0,10412.0
2024-09-26,134.0,10212.0,0.0,0.0,0.0,10346.0
2024-09-19,0.0,5933.0,0.0,0.0,969.0,6902.0
2024-09-12,0.0,6516.0,821.0,0.0,0.0,7337.0
2024-09-05,0.0,5996.0,0.0,0.0,1279.0,7275.0
2024-08-29,1251.0,5234.0,0.0,0.0,0.0,6485.0
2024-08-22,0.0,7864.0,0.0,0.0,2428.0,10292.0
2024-08-15,0.0,7146.0,221.0,0.0,0.0,7367.0
2024-08-08,0.0,4968.0,0.0,0.0,1083.0,6051.0
2024-07-31,688.0,5694.0,0.0,0.0,0.0,6382.0
2024-07-25,0.0,5616.0,0.0,0.0,2473.0,8089.0
2024-07-18,0.0,8471.0,448.0,0.0,0.0,8919.0
2024-07-11,0.0,5269.0,0.0,0.0,1370.0,6639.0
2024-07-04,305.0,10028.0,0.0,0.0,0.0,10333.0
2024-06-27,0.0,4467.0,0.0,0.0,2038.0,6505.0
2024-06-20,0.0,5803.0,536.0,0.0,0.0,6339.0
2024-06-13,0.0,6396.0,0.0,0.0,579.0,6975.0
2024-06-06,1080.0,10729.0,0.0,0.0,0.0,11809.0
2024-05-30,0.0,8995.0,0.0,0.0,1693.0,10688.0
2024-05-23,0.0,6110.0,565.0,0.0,0.0,6675.0
2024-05-16,0.0,8181.0,0.0,0.0,799.0,8980.0
2024-05-08,782.0,8747.0,0.0,0.0,0.0,9529.0
2024-05-02,0.0,6580.0,0.0,0.0,2795.0,9375.0
2024-04-25,0.0,5995.0,638.0,0.0,0.0,6633.0
2024-04-18,0.0,3631.0,0.0,0.0,1129.0,4760.0
2024-04-11,1328.0,10139.0,0.0,0.0,0.0,11467.0
2024-04-04,0.0,8490.0,0.0,0.0,1735.0,10225.0
2024-03-28,0.0,3039.0,433.0,0.0,0.0,3472.0
2024-03-21,0.0,7296.0,0.0,0.0,767.0,8063.0
2024-03-14,275.0,15242.0,0.0,0.0,0.0,15517.0
2024-03-07,0.0,13819.0,0.0,0.0,1453.0,15272.0
2024-02-29,0.0,9529.0,1187.0,0.0,0.0,10716.0
2024-02-22,0.0,6150.0,0.0,0.0,2213.0,8363.0
2024-02-15,263.0,9460.0,0.0,0.0,0.0,9723.0
2024-02-08,0.0,7511.0,0.0,0.0,5545.0,13056.0
2024-02-01,0.0,7301.0,685.0,0.0,0.0,7986.0
2024-01-25,0.0,5059.0,0.0,0.0,1770.0,6829.0
2024-01-18,1179.0,7099.0,0.0,0.0,0.0,8278.0
2024-01-11,0.0,5377.0,0.0,0.0,1601.0,6978.0
2024-01-04,0.0,4875.0,395.0,0.0,0.0,5270.0
2023-12-28,0.0,3715.0,0.0,0.0,398.0,4113.0
2023-12-21,603.0,8117.0,0.0,0.0,0.0,8720.0
2023-12-14,0.0,6314.0,0.0,0.0,635.0,6949.0
2023-12-07,0.0,9447.0,655.0,0.0,0.0,10102.0
2023-11-30,0.0,8214.0,0.0,0.0,1294.0,9508.0
2023-11-23,1284.0,7219.0,0.0,0.0,0.0,8503.0
2023-11-16,0.0,6347.0,0.0,0.0,4966.0,11313.0
2023-11-09,0.0,7375.0,610.0,0.0,0.0,7985.0
2023-11-02,0.0,4973.0,0.0,0.0,2694.0,7667.0
2023-10-26,2096.0,4373.0,0.0,0.0,0.0,6469.0
2023-10-19,0.0,5778.0,0.0,0.0,2183.0,7961.0
2023-10-12,0.0,4756.0,1510.0,0.0,0.0,6266.0
2023-10-05,0.0,6269.0,0.0,0.0,4618.0,10887.0
2023-09-28,2597.0,2553.0,0.0,0.0,0.0,5150.0
2023-09-21,0.0,5918.0,0.0,0.0,2800.0,8718.0
2023-09-14,0.0,4950.0,1233.0,0.0,0.0,6183.0
2023-09-07,0.0,13368.0,0.0,0.0,596.0,13964.0
2023-08-31,6819.0,3861.0,0.0,0.0,0.0,10680.0
2023-08-24,0.0,7273.0,0.0,0.0,4817.0,12090.0
2023-08-17,0.0,4095.0,1967.0,0.0,0.0,6062.0
2023-08-10,0.0,9724.0,0.0,0.0,2000.0,11724.0
2023-08-03,3228.0,8861.0,0.0,0.0,0.0,12089.0
2023-07-27,0.0,6227.0,0.0,0.0,2405.0,8632.0
2023-07-20,0.0,4170.0,1030.0,0.0,0.0,5200.0
2023-07-13,0.0,13939.0,0.0,0.0,2299.0,16238.0
2023-07-06,1424.0,8999.0,0.0,0.0,0.0,10423.0
2023-06-29,0.0,3848.0,0.0,0.0,6548.0,10396.0
2023-06-22,0.0,5626.0,2635.0,0.0,0.0,8261.0
2023-06-15,0.0,10052.0,0.0,0.0,7306.0,17358.0
2023-06-08,4283.0,9559.0,0.0,4051.0,0.0,17893.0
2023-06-01,0.0,11514.0,0.0,3675.0,10179.0,25368.0
2023-05-25,0.0,11230.0,3209.0,7385.0,0.0,21824.0
2023-05-17,0.0,9749.0,0.0,5819.0,8187.0,23755.0
2023-05-11,4835.0,8580.0,0.0,6740.0,0.0,20155.0
2023-05-04,0.0,8103.0,0.0,6496.0,9104.0,23703.0
2023-04-27,0.0,14892.0,3869.0,5601.0,0.0,24362.0
2023-04-20,0.0,11295.0,0.0,6349.0,9494.0,27138.0
2023-04-13,2862.0,11501.0,0.0,3570.0,0.0,17933.0
2023-04-06,0.0,10991.0,0.0,5352.0,5818.0,22161.0
2023-03-30,0.0,8975.0,810.0,2366.0,0.0,12151.0
2023-03-23,0.0,6892.0,0.0,3405.0,4542.0,14839.0
2023-03-16,1935.0,6155.0,0.0,0.0,0.0,8090.0
2023-03-09,0.0,12053.0,0.0,0.0,8305.0,20358.0
2023-03-02,0.0,7357.0,3410.0,0.0,0.0,10767.0
2023-02-23,0.0,8654.0,0.0,0.0,5912.0,14566.0
2023-02-16,2966.0,10917.0,0.0,0.0,0.0,13883.0
2023-02-09,0.0,9362.0,0.0,0.0,5053.0,14415.0
2023-02-02,0.0,8410.0,881.0,0.0,0.0,9291.0
2023-01-26,0.0,6787.0,0.0,0.0,2005.0,8792.0
2023-01-19,3614.0,10623.0,0.0,0.0,0.0,14237.0
2023-01-12,0.0,6074.0,0.0,0.0,5425.0,11499.0
2023-01-06,0.0,9066.0,1205.0,0.0,0.0,10271.0
2022-12-29,0.0,4836.0,0.0,0.0,3074.0,7910.0
2022-12-22,4570.0,11905.0,0.0,0.0,0.0,16475.0
2022-12-15,0.0,8988.0,0.0,0.0,9068.0,18056.0
2022-12-08,0.0,10271.0,2702.0,0.0,0.0,12973.0
2022-12-01,0.0,8880.0,0.0,0.0,9065.0,17945.0
2022-11-24,4874.0,11458.0,0.0,0.0,0.0,16332.0
2022-11-17,0.0,13857.0,0.0,0.0,5025.0,18882.0
2022-11-10,0.0,15193.0,2065.0,0.0,0.0,17258.0
2022-11-03,0.0,11372.0,0.0,0.0,1799.0,13171.0
2022-10-27,4812.0,15150.0,0.0,0.0,0.0,19962.0
2022-10-20,0.0,13994.0,0.0,0.0,3300.0,17294.0
2022-10-13,0.0,14745.0,3680.0,0.0,0.0,18425.0
2022-10-06,0.0,10193.0,0.0,0.0,2737.0,12930.0
2022-09-29,4605.0,11644.0,0.0,0.0,0.0,16249.0
2022-09-22,0.0,13953.0,0.0,0.0,3900.0,17853.0
2022-09-15,0.0,0.0,0.0,6.0,0.0,6.0
2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-08,0.0,0.0,0.0,7.0,0.0,7.0
2022-09-01,0.0,0.0,0.0,15.0,0.0,15.0
2022-08-25,0.0,0.0,0.0,48.0,0.0,48.0
2022-08-18,0.0,0.0,0.0,73.0,0.0,73.0
2022-08-11,0.0,0.0,0.0,132.0,0.0,132.0
